Date,Lower_Bound_-_95%_Confidence_Interval,Upper_Bounds_-_95%_Confidence_Interval,Estimate_of_Rt_7_Day_Average,Nowcasting_Adjusted_Cases_by_Episode_Date,OBJECTID
2020/04/15,1.06564254951855,1.32788963229533,1.19373710554353,29,45
2020/04/16,1.06255765658948,1.31836573020235,1.18756473714438,70,46
2020/04/17,1.17407349537862,1.43615244662395,1.30234050181147,32,47
2020/04/18,1.09618817161824,1.34190103972698,1.21643547410225,40,48
2020/04/19,1.02178757541316,1.25227080475141,1.13456779731323,17,49
2020/04/20,0.921952213926146,1.13730883463942,1.02725702054197,61,50
2020/04/21,1.05421890858278,1.28210198198612,1.16581889716978,36,51
2020/04/22,1.038848117506,1.26210712962023,1.14819565755465,41,52
2020/04/23,1.04401863408864,1.26336893636358,1.15149739594138,45,53
2020/04/24,0.919719999204395,1.12251570231365,1.01899624191363,41,54
2020/04/25,0.937465505713277,1.1405067408517,1.03689613292529,101,55
2020/04/26,1.1460351309998,1.36895361591032,1.25541388268525,54,56
2020/04/27,1.22254989945708,1.44743391659896,1.33299790625922,61,57
2020/04/28,1.13534938491281,1.34419315534063,1.2379194940293,19,58
2020/04/29,1.01611272051853,1.20774018219064,1.11018798349862,25,59
2020/04/30,0.936372700783101,1.11735917764399,1.02518656604753,20,60
2020/05/01,0.856517457038591,1.02898158495972,0.941088240432108,23,61
2020/05/02,0.813802514921614,0.982920547606494,0.896684927387397,21,62
2020/05/03,0.604116184440139,0.752784898071407,0.676733399723376,19,63
2020/05/04,0.537766654096117,0.68333618027043,0.608720901668951,18,64
2020/05/05,0.451771231230999,0.59337916897611,0.520548969118414,25,65
2020/05/06,0.533147747088879,0.696456409040815,0.612511961491345,16,66
2020/05/07,0.561294022803796,0.739338767600198,0.647742191139734,23,67
2020/05/08,0.631889602088802,0.829955740985153,0.72808859490166,13,68
2020/05/09,0.633851477508333,0.84079612111047,0.734255648480756,17,69
2020/05/10,0.657465364047515,0.875845050058516,0.763368783635098,12,70
2020/05/11,0.661353025081119,0.888054044089006,0.771197560870764,20,71
2020/05/12,0.714387802621329,0.957028198520482,0.831985216143591,23,72
2020/05/13,0.737932287189657,0.99088342692958,0.860495920312218,21,73
2020/05/14,0.799618391329055,1.06756607094074,0.92952892212434,14,74
2020/05/15,0.758451190579101,1.0233864436098,0.886754299515851,20,75
2020/05/16,0.82595033128079,1.10521288205007,0.96131372246927,16,76
2020/05/17,0.834201269374099,1.11753607088918,0.971521519349562,11,77
2020/05/18,0.833696635147515,1.11815856349787,0.97154585250715,15,78
2020/05/19,0.804681332335774,1.08576527687897,0.940804945726394,12,79
2020/05/20,0.735475219088708,1.0070588403214,0.866789400570215,15,80
2020/05/21,0.712148940140796,0.983909881088183,0.843421267010036,8,81
2020/05/22,0.694954728665332,0.969600635538052,0.827479991052135,7,82
2020/05/23,0.6216651141947,0.889020733360116,0.750327635862974,9,83
2020/05/24,0.599828499329398,0.871446051028172,0.730317954558252,10,84
2020/05/25,0.635061130994869,0.924878542869686,0.774257294754412,15,85
2020/05/26,0.677709514316438,0.986990003793783,0.826253583433705,6,86
2020/05/27,0.651703369625173,0.964090795374427,0.801484315793523,5,87
2020/05/28,0.578246249057093,0.882435216148478,0.723602837536901,4,88
2020/05/29,0.572824343985358,0.887095070817947,0.722757852573327,7,89
2020/05/30,0.618034056182321,0.957108353710213,0.779800949372597,3,90
2020/05/31,0.58186212939204,0.924103296138662,0.744690266953561,4,91
2020/06/01,0.538222382599465,0.880960710475112,0.700749256622609,11,92
